id,post_message,link_title,affluence_index,likes,comments,shares,link,muslim_prop,male_prop,age_index
26781952138_10155570963892139,"TOI Afternoon Newswrap

* 'Terror' gallery on Punjab CM Amarinder Singh's turf...and more",Video news: All in one minute @ 2pm,-0.22,51,14,0,http://timesofindia.indiatimes.com/videos/one-min-news/july/july-6-2017/video-news-all-in-one-minute-2pm/videoshow/59471273.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,17.95%,86.96%,0.44
26781952138_10155570965692139,Islamabad is also sitting on a request for a visa to Jadhav's mother for travelling to Pakistan.,Kulbhushan Jadhav’s plea of mercy now with army chief: Pakistan,-0.02,100,21,2,http://timesofindia.indiatimes.com/india/kulbhushan-jadhavs-plea-of-mercy-now-with-army-chief-pakistan/articleshow/59624181.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,17.78%,83.91%,0.38
26781952138_10155571043397139,,Video news: All in one minute @ 6pm,0.15,68,7,1,http://timesofindia.indiatimes.com/videos/one-min-news/july/july-8-2017/video-news-all-in-one-minute-6pm/videoshow/59504418.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,26.42%,85.71%,0.40
26781952138_10155571054007139,,"Video: TruJet denies ticket to TDP MP Diwakar Reddy, apologises later and issues ticket to him",0.20,79,0,0,http://timesofindia.indiatimes.com/videos/city/hyderabad/trujet-denies-ticket-to-tdp-mp-diwakar-reddy-apologises-later-and-issues-ticket-to-him/videoshow/59515377.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,15.38%,86.89%,0.44
26781952138_10155571060547139,The complainant later refused to acknowledge the incident,3 transgenders acquitted in attempt to murder case,0.22,81,1,5,http://timesofindia.indiatimes.com/city/delhi/3-transgenders-acquitted-in-attempt-to-murder-case/articleshow/59515125.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,20.29%,78.79%,0.34
26781952138_10155571088782139,"If you are planning to change your gym routine and looking for a perky workout to get a bubbly fanny, you may want to try this.",Women are trying this gym hack to get extra curvy butt - Times of India,0.23,70,9,3,http://timesofindia.indiatimes.com/life-style/health-fitness/fitness/women-are-trying-this-gym-hack-to-get-extra-curvy-butt/articleshow/59382961.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,28.33%,79.37%,0.39
26781952138_10155571092982139,"The traders, who allegedly suffered losses in crores, refused to open shops without compensation and security assurance","After tribals, Raiganj traders hit the streets",0.32,56,2,2,http://timesofindia.indiatimes.com/city/kolkata/after-tribals-raiganj-traders-hit-the-streets/articleshow/59613957.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,14.89%,77.50%,0.42
26781952138_10155571096672139,These celebrities made headlines with sexual assault cases...,12 celebrities who were embroiled in sexual harassment and assault cases :::Misskyra,0.37,58,4,1,http://www.misskyra.com/celebs/celebrities-who-were-embroiled-in-sexual-harassment-and-assault-cases/photostory/59579116.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,14.55%,92.59%,0.39
26781952138_10155571124642139,"There was ""clear-cut evidence"" against the accused, the court observed","Bilkis Bano case: Supreme Court dismisses appeals of 4 cops, 2 doctors",0.38,145,14,19,http://timesofindia.indiatimes.com/india/bilkis-bano-case-supreme-court-dismisses-appeals-of-4-cops-2-doctors/articleshow/59529129.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,32.59%,85.38%,0.40
26781952138_10155571131307139,Sonam Kapoor clarified that if she gets married or engaged she’ll announce it on her own.,Sonam Kapoor rubbishes speculative reports of her engagement,0.44,70,1,1,http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/sonam-kapoor-rubbishes-speculative-reports-of-her-engagement/articleshow/59579867.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,30.16%,86.15%,0.37
26781952138_10155571132842139,Gorkhaland proponents have decided to take their agitation to Delhi from August,GJM man killed in clash; ninth Darjeeling death since June,0.45,72,3,1,http://timesofindia.indiatimes.com/india/gjm-man-killed-in-clash-ninth-darjeeling-death-since-june/articleshow/59657933.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,10.00%,86.15%,0.38
26781952138_10155571133727139,,Video: GJM supporters take out protest rally wearing traditional costumes,0.45,110,13,3,http://timesofindia.indiatimes.com/videos/city/kolkata/gjm-supporters-take-out-protest-rally-wearing-traditional-costumes/videoshow/59485877.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,14.13%,82.56%,0.41
26781952138_10155571134907139,,Video: Ismailis celebrate 60th year of Aga Khan's imamat in Mumbai,0.47,172,15,16,http://timesofindia.indiatimes.com/videos/city/mumbai/ismailis-celebrate-60th-year-of-aga-khans-imamat-in-mumbai/videoshow/59559340.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,34.16%,77.91%,0.40
26781952138_10155571136382139,,Video: Patients evacuated safely after fire breaks out at Lucknow hospital,0.51,87,2,1,http://timesofindia.indiatimes.com/videos/city/lucknow/patients-evacuated-safely-after-fire-breaks-out-at-lucknow-hospital/videoshow/59615768.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,11.27%,68.18%,0.38
26781952138_10155571137797139,,"Video: Woman complains of poor quality of rice in Telangana CM's meet, cops escort her out",0.51,77,4,1,http://timesofindia.indiatimes.com/videos/city/hyderabad/woman-complains-of-poor-quality-of-rice-in-telangana-cms-meet-cops-escort-her-out/videoshow/59575450.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,25.00%,75.00%,0.40
26781952138_10155571211242139,,Video: Helmet cam video of cycling accident goes viral,0.52,86,0,4,http://timesofindia.indiatimes.com/videos/news/helmet-cam-video-of-cycling-accident-goes-viral/videoshow/59571836.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,10.67%,89.47%,0.39
26781952138_10155571218032139,"No other court would entertain a plea challenging a lower court's order while a trial is pending,' said SC.",Supreme Court dismisses Jindal plea on challenging trial court order,0.53,104,3,4,http://timesofindia.indiatimes.com/india/supreme-court-dismisses-jindal-plea-on-challenging-trial-court-order/articleshow/59573638.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,17.02%,86.17%,0.39
26781952138_10155571283347139,"On the face of it, the current rally in the market looks well spread out.",Sensex at new high again: What is driving the rally?,0.53,74,0,3,http://timesofindia.indiatimes.com/business/india-business/sensex-at-new-high-again-what-is-driving-the-rally/articleshow/59552196.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,8.33%,76.56%,0.39
26781952138_10155571401972139,"According to media reports, Lizeth was in her father’s butchery when a man walked in and opened fire at her.",Renowned Mexican model Lizeth Portillo Rodríguez shot dead,0.56,132,2,4,http://photogallery.indiatimes.com/fashion/foreign-models/renowned-mexican-model-shot-dead/articleshow/59575371.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,15.87%,80.51%,0.41
26781952138_10155571824387139,BollywoodBuzz: SS Rajamouli regrets talking about Sridevi rejecting 'Baahubali'...and more,BollywoodBuzz: SS Rajamouli regrets talking about Sridevi rejecting 'Baahubali'...and more,0.56,118,2,1,http://timesofindia.indiatimes.com/videos/entertainment/hindi/BollywoodBuzz-SS-Rajamouli-regrets-talking-about-Sridevi-rejecting-Baahubali-and-more/videoshow/59554716.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,7.84%,74.75%,0.39
26781952138_10155571835237139,The former TERI (The Energy and Resources Institute) chief R K Pachauri has been accused of sexually harassing his ex-colleague,Court exempts Pachauri from appearance on medical grounds,0.62,52,0,3,http://timesofindia.indiatimes.com/india/court-exempts-pachauri-from-appearance-on-medical-grounds/articleshow/59596056.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,16.28%,85.37%,0.42
26781952138_10155572601112139,The Army said all ceasefire violations have been initiated by the Pakistani army,"1 jawan, 9-year-old girl killed in Pakistan's ceasefire violation at LoC",0.63,481,102,14,http://timesofindia.indiatimes.com/india/1-jawan-9-year-old-girl-killed-in-pakistans-ceasefire-violation-at-loc/articleshow/59629257.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,25.00%,90.00%,0.42
26781952138_10155572701447139,"SIPs shouldn't make investors adopt a “fill it, shut it, forget it“ approach.",Why you shouldn't stop SIPs,0.64,53,2,4,http://timesofindia.indiatimes.com/business/india-business/why-you-shouldnt-stop-sips/articleshow/59521204.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,11.90%,79.07%,0.40
26781952138_10155572745412139,The court recognised that there was no attempt to revive vends except those in city limits.,SC dilutes booze sale ban along highways within municipal limits,0.65,77,2,0,http://timesofindia.indiatimes.com/india/sc-dilutes-booze-sale-ban-along-highways-within-municipal-limits/articleshow/59552468.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,10.81%,80.82%,0.39
26781952138_10155572858072139,"#ICYMI | A deadly plastic explosive, Pentaerythritol tetranitrate (PETN), was smuggled inside the Uttar Pradesh assembly.",NIA to probe smuggling of explosive into UP assembly,0.66,78,3,4,http://timesofindia.indiatimes.com/india/major-security-breach-in-up-explosive-smuggled-into-assembly/articleshow/59603110.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,21.74%,86.15%,0.42
26781952138_10155572867812139,"TOI Morning Newswrap

* 4 labourers die after inhaling toxic gas in tank in Delhi's Ghitorni...and more",Video news: All in one minute @ 10am,0.66,74,4,0,http://timesofindia.indiatimes.com/videos/one-min-news/july/july-16-2017/video-news-all-in-one-minute-10am/videoshow/59615828.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,22.58%,88.89%,0.36
26781952138_10155572868037139,,Security video shows deadly brawl in Greece,0.69,82,2,0,http://timesofindia.indiatimes.com/videos/news/security-video-shows-deadly-brawl-in-greece/videoshow/59571957.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,19.23%,92.41%,0.37
26781952138_10155572873447139,It has been alleged that Sasikala had been given a special kitchen and other facilities by the prison staff.,Siddaramaiah orders probe into ‘special facilities’ for Sasikala in jail,0.71,115,14,9,http://timesofindia.indiatimes.com/city/bengaluru/siddaramaiah-orders-probe-into-special-facilities-for-sasikala-in-jail/articleshow/59585799.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,15.46%,88.00%,0.41
26781952138_10155572879992139,,Video: 713th Urs of Amir Khusro celebrated at Hazrat Nizamuddin Dargah,0.72,344,3,6,http://timesofindia.indiatimes.com/videos/city/delhi/delhi-713th-urs-of-amir-khusro-celebrated-at-hazrat-nizamuddin-dargah/videoshow/59621693.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,36.63%,77.33%,0.36
